text,coarse_label
How did serfdom develop in and then leave Russia ?,description
What films featured the character Popeye Doyle ?,entity
How can I find a list of celebrities ' real names ?,description
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,entity
What is the full form of .com ?,abbreviation
What contemptible scoundrel stole the cork from my lunch ?,human
What team did baseball 's St. Louis Browns become ?,human
What is the oldest profession ?,human
What are liver enzymes ?,description
Name the scar-faced bounty hunter of The Old West .,human
When was Ozzy Osbourne born ?,numeric
Why do heavier objects travel downhill faster ?,description
Who was The Pride of the Yankees ?,human
Who killed Gandhi ?,human
What is considered the costliest disaster the insurance industry has ever faced ?,entity
What sprawling U.S. state boasts the most airports ?,location
What did the only repealed amendment to the U.S. Constitution deal with ?,description
How many Jews were executed in concentration camps during WWII ?,numeric
What is `` Nine Inch Nails '' ?,description
What is an annotated bibliography ?,description
What is the date of Boxing Day ?,numeric
What articles of clothing are tokens in Monopoly ?,entity
Name 11 famous martyrs .,human
What 's the Olympic motto ?,description
What is the origin of the name ` Scarlett ' ?,description
What 's the second-most-used vowel in English ?,entity
Who was the inventor of silly putty ?,human
What is the highest waterfall in the United States ?,location
Name a golf course in Myrtle Beach .,entity
Which two states enclose Chesapeake Bay ?,location
What does the abbreviation AIDS stand for ?,abbreviation
What does a spermologer collect ?,entity
How many points make up a perfect fivepin bowling score ?,numeric
Which company that manufactures video-game hardware sells the `` super system '' ?,human
How many Community Chest cards are there in Monopoly ?,numeric
What do Mormons believe ?,description
When did the neanderthal man live ?,numeric
In what religion was Isis the nature goddess ?,entity
Where do the adventures of `` The Swiss Family Robinson '' take place ?,location
What relative of the racoon is sometimes known as the cat-bear ?,entity
How can I register my website in Yahoo for free ?,description
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,entity
How many people in the world speak French ?,numeric
How many inches over six feet is the Venus de Milo ?,numeric
How do they find or choose witnesses to an execution ?,description
What 1920s cowboy star rode Tony the Wonder Horse ?,human
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,entity
What ISPs exist in the Caribbean ?,human
How do you ask a total stranger out on a date ?,description
What weapon is the mythological character Apollo most proficient with ?,entity
What country do the Galapagos Islands belong to ?,location
What is ethology ?,description
Who was the prophet of the Muslim people ?,human
Where did the term `` 86ed '' come from ?,description
Who is Snoopy 's arch-enemy ?,human
What is the nature of learning ?,description
What 's the only color Johnny Cash wears on stage ?,entity
What 's the term for a young fox ?,entity
What U.S. state lived under six flags ?,location
What is the Kashmir issue ?,description
Where is the Loop ?,location
What does `` extended definition '' mean and how would one write a paper on it ?,description
What country 's capital is Tirana ?,location
What is titanium ?,description
Who do Herb and Tootsie live next door to ?,human
Which city has the oldest relationship as a sister city with Los Angeles ?,location
What is a caldera ?,description
Why do people get calluses ?,description
What are the names of the tourist attractions in Reims ?,location
What are Cushman and Wakefield known for ?,description
What body of water does the Danube River flow into ?,location
Who is the founder of Scientology ?,human
