,context,abbreviation,description,entity,human,location,numeric
0,"Once a business owner defines the needs to take a business to the next level, a decision maker will define a scope, cost and a time frame of the project. $^{[1]}$ The role of the IT consultancy company is to support and nurture the company from the very beginning of the project until the end, and deliver the project not only in the scope, time and cost but also with complete customer satisfaction. [1]",not_abbreviation,description,not_entity,not_human,not_location,not_numeric
5,"The following is a chronological list of people who have served as chief executive officer of IBM, an American multinational technology and consulting corporation headquartered in Armonk, New York.
Thomas J. Watson (1914-1956) [1]
Thomas J. Watson, Jr. (1956-1971) [1]
T. Vincent Learson (1971-1973) [1]
Frank T. Cary (1973-1981) [1]
John R. Opel (1981-1985) [1]
John Fellows Akers (1985-1993) [1]
Louis V. Gerstner, Jr. (1993-2002) [1]
Samuel J. Palmisano (2002-2012) [1][2]
Virginia Marie Rometty (2012-2020) [2]
Arvind Krishna (2020-) [3]",not_abbreviation,not_description,entity,human,location,numeric
10,"STG incorporates the former Haifa Development Lab and develops advanced technologies for IBM's Systems and Technology Group. The STG Lab in Israel is involved in three major activities: storage technology, de-duplication software, and chip design. Working closely with the Israeli hi-tech community and recent IBM acquisitions in Israel, the STG Lab serves as a focal point for building a storage ecosystem in Israel. The lab also works closely with the XIV (http://www-03.ibm.com/system",not_abbreviation,description,entity,not_human,location,not_numeric
15,"Fiorina helmed the post-merger HP for nearly three years after Capellas left. HP laid off thousands of former Compaq, DEC, HP, and Tandem employees, [110][111] its stock price generally declined and profits did not perk up. Several senior executives from the Compaq side including Jeff Clarke and Peter Blackmore would resign or be ousted from the post-merger HP. $^{[112]}$ Though the combination of both companies' PC manufacturing capacity initially made the post-merger HP number one, it soon lost the lead and further market share to Dell which squeezed HP on low end PCs. $^{[113][103][114]}$ HP was also unable to compete effectively with IBM in the high-end server market. In addition, the merging of the stagnant Compaq computer assembly business with HP's lucrative printing and imaging division was criticized for obstructing the profitability of the printing/imaging segment. [115] Overall, it has been suggested that the purchase of Compaq was not a good move for HP, due to the narrow profit margins in the commoditized PC business, especially in light of IBM's 2004 announcement to sell its PC division to Lenovo. The Inquirer noted that the continued low return on investment and small margins of HP's personal computer manufacturing business, now named the Personal Systems Group, 'continues to be what it was in the individual companies, not much more than a job creation scheme for its employees '. $^{[92]}$ One of the few positives was Compaq's sales approach and enterprise focus that influenced the newly combined company's strategy and philosophy. [116]",not_abbreviation,description,not_entity,human,not_location,numeric
20,"Imagine that these two entangled qubits are separated, with one each given to Alice and Bob. Alice makes a measurement of her qubit, obtaining-with equal probabilities-either or, i.e., she can now tell if her qubit has value '0' or '1'. Because of the qubits' entanglement, Bob must now get exactly the same measurement as Alice. For example, if she measures a, Bob must measure the same, as is the only state where Alice's qubit is a. In short, for these two entangled qubits, whatever Alice measures, so would Bob, with perfect correlation, in any basis, however far apart they may be and even though both can not tell if their qubit has value '0' or '1' a most surprising circumstance that can not be explained by classical physics.",not_abbreviation,description,not_entity,not_human,not_location,numeric
25,"Mainframes also have execution integrity characteristics for fault tolerant computing. For example, z900, z990, System z9, and System z10 servers effectively execute result-oriented instructions twice, compare results, arbitrate between any differences (through instruction retry and failure isolation), then shift workloads 'in flight ' to functioning processors, including spares, without any impact to operating systems, applications, or users. This hardware-level feature, also found in HP's NonStop systems, is known as lock-stepping, because both processors take their 'steps ' (i.e. instructions) together. Not all applications absolutely need the assured integrity that these systems provide, but many do, such as financial transaction processing.",not_abbreviation,description,not_entity,not_human,not_location,numeric
30,"In 1994 Lindau Nobel Laureate Meetings, Esaki suggests a list of 'five don'ts' which anyone in realizing his creative potential should follow. Two months later, the chairman of the Nobel Committee for Physics Carl Nordling incorporated the rules in his own speech. [9][2]
1. Don't allow yourself to be trapped by your past experiences.
2. Don't allow yourself to become overly attached to any one authority in your field-the great professor, perhaps.
3. Don't hold on to what you don't need.
4. Don't avoid confrontation.
5. Don't forget your spirit of childhood curiosity.",not_abbreviation,not_description,not_entity,not_human,not_location,numeric
35,"Dayton is the home to several ballet companies including:
The Dayton Ballet, one of the oldest professional dance companies in the United States. $^{[109]}$ The Dayton Ballet runs the Dayton Ballet School, the oldest dance school in Dayton and one of the oldest in the country. $^{[110]}$ It is the only ballet school in the Miami Valley associated with a professional dance company. [111]
The Dayton Contemporary Dance Company (established in 1968), which hosts the largest repertory of African-American-based contemporary dance in the world. The company travels nationally and internationally and has been recognized by critics worldwide.",not_abbreviation,description,entity,not_human,location,numeric
38,"Yorktown Heights is in the town of Yorktown, New York, in northern Westchester County, 45 miles from New York City, with forty square miles of rolling hills, farmland, residential areas and light industry including the IBM Thomas J. Watson Research Center. First settled in 1683, Yorktown was of strategic importance during the American Revolution, with the Pines Bridge crossing of the Croton River guarded by the 1st Rhode Island Regiment, an integrated unit which included African Americans and Native Americans. Yorktown was incorporated in 1788 and named in commemoration of the Franco-American decisive victory at Yorktown, Virginia. The Yorktown Heights Railroad Station, which last had passenger service on the New York Central Railroad's Putnam Division in 1958, was added to the National Register of Historic Places in 1981. [5]",not_abbreviation,description,not_entity,not_human,location,numeric
43,"In 2004, Qualcomm created a MediaFLO subsidiary to bring its FLO (forward link only) specification to market. Qualcomm built an $800 million MediaFLO network of cell towers to supplement carrier networks with one that is designed for multimedia. [122][123] In comparison to cellular towers that provide two-way communications with each cell phone individually, MediaFLO towers would broadcast multimedia content to mobile phones in a one-way broadcast. $^{[124][125]}$ Qualcomm also sold FLO-based semiconductors and licenses. [126][127]",abbreviation,description,not_entity,not_human,not_location,numeric
