text,coarse_label
What is Mikhail Gorbachev 's middle initial ?,abbreviation
What is the full form of .com ?,abbreviation
What is LMDS ?,abbreviation
What does e.g. stand for ?,abbreviation
"When reading classified ads , what does EENTY : other stand for ?",abbreviation
What is a handheld PC ?,description
What does the name Billie mean ?,description
How is Answers.com funded ?,description
What is troilism ?,description
What is the purpose of BIOS ?,description
What is the term for the side of the mountain that faces the prevailing winds ?,entity
"What 's played at Wembley Stadium , London , every May ?",entity
What is a fear of color ?,entity
What future movie treat was introduced to American colonists in 1603 by Native Americans ?,entity
What 's the official language of Algeria ?,entity
Who gave Abbie Hoffman his first dose of LSD ?,human
"What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business ?",human
What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,human
Name the three races unleashed by the Celestials in Marvel comics .,human
What actor and actress have made the most movies ?,human
Where can I get piano music for the Jamiroquai song Everyday for the midi ?,location
What state is known as the Hawkeye State ?,location
Where does Mother Angelica live ?,location
Where is Erykah Badu originally from ?,location
Where did guinea pigs originate ?,location
How many gallons of water go over Niagra Falls every second ?,numeric
What time of year do most people fly ?,numeric
What is the weight of a teaspoon of matter in a black hole ?,numeric
How many colors are there in a rainbow ?,numeric
When did Mount St. Helen last have a significant eruption ?,numeric
